,support,itemsets
76,0.2937771345875543,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts'])"
77,0.07091172214182344,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'extensions'])"
78,0.3545586107091172,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
79,0.30101302460202606,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/virtualMachines', u'Microsoft.Storage/storageAccounts'])"
80,0.07525325615050651,"frozenset([u'Microsoft.Network/publicIPAddresses', u'extensions', u'Microsoft.Compute/virtualMachines'])"
81,0.07814761215629522,"frozenset([u'Microsoft.Network/publicIPAddresses', u'Microsoft.Compute/availabilitySets', u'Microsoft.Compute/virtualMachines'])"
82,0.11432706222865413,"frozenset([u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks', u'Microsoft.Storage/storageAccounts'])"
83,0.1316931982633864,"frozenset([u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines'])"
84,0.10998552821997105,"frozenset([u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Compute/virtualMachines', u'Microsoft.Storage/storageAccounts'])"
85,0.2793053545586107,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/virtualMachines', u'Microsoft.Storage/storageAccounts'])"
86,0.07091172214182344,"frozenset([u'Microsoft.Network/virtualNetworks', u'extensions', u'Microsoft.Compute/virtualMachines'])"
87,0.07091172214182344,"frozenset([u'Microsoft.Network/virtualNetworks', u'Microsoft.Compute/availabilitySets', u'Microsoft.Compute/virtualMachines'])"
88,0.07814761215629522,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Network/networkSecurityGroups'])"
89,0.19681620839363242,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces'])"
90,0.16642547033285093,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts'])"
91,0.21128798842257598,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/publicIPAddresses', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
92,0.07380607814761216,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/networkInterfaces'])"
93,0.07525325615050651,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkSecurityGroups', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
94,0.15629522431259044,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts'])"
95,0.1939218523878437,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/virtualNetworks', u'Microsoft.Network/networkInterfaces', u'Microsoft.Compute/virtualMachines'])"
96,0.16353111432706222,"frozenset([u'Microsoft.Compute/virtualMachines/extensions', u'Microsoft.Network/networkInterfaces', u'Microsoft.Storage/storageAccounts', u'Microsoft.Compute/virtualMachines'])"
