,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
802,"frozenset([5, 7])",frozenset([12]),0.3125904486251809,0.2503617945007236,0.15629522431259044,0.5,1.9971098265895952,0.0780345186510039,1.4992764109985528
803,frozenset([12]),"frozenset([5, 7])",0.2503617945007236,0.3125904486251809,0.15629522431259044,0.6242774566473988,1.9971098265895952,0.0780345186510039,1.8295669598129796
804,frozenset([5]),"frozenset([12, 7])",0.48191027496382055,0.16931982633863965,0.15629522431259044,0.3243243243243243,1.9154539154539152,0.07469826024491026,1.2294066570188134
805,frozenset([7]),"frozenset([12, 5])",0.39363241678726485,0.19826338639652677,0.15629522431259044,0.39705882352941174,2.002683555173894,0.07825232836489827,1.3297095054886872
806,"frozenset([1, 2, 11, 5])",frozenset([6]),0.3545586107091172,0.08104196816208394,0.07091172214182344,0.19999999999999998,2.4678571428571425,0.042177594501142446,1.1486975397973949
807,"frozenset([1, 2, 11, 6])",frozenset([5]),0.07525325615050651,0.48191027496382055,0.07091172214182344,0.9423076923076922,1.955359205359205,0.03464640477841002,8.980221900627091
808,"frozenset([1, 2, 5, 6])",frozenset([11]),0.07091172214182344,0.40520984081041966,0.07091172214182344,1.0,2.467857142857143,0.04217759450114245,inf
809,"frozenset([1, 11, 5, 6])",frozenset([2]),0.07091172214182344,0.47901591895803186,0.07091172214182344,1.0,2.0876132930513593,0.03694387839516127,inf
810,"frozenset([2, 11, 5, 6])",frozenset([1]),0.07091172214182344,0.4341534008683068,0.07091172214182344,1.0,2.3033333333333332,0.04012515681252238,inf
811,"frozenset([1, 2, 11])","frozenset([5, 6])",0.3921852387843705,0.07091172214182344,0.07091172214182344,0.18081180811808115,2.5498154981549814,0.04310119146102148,1.1341573121602067
812,"frozenset([1, 2, 5])","frozenset([11, 6])",0.36324167872648333,0.07670043415340087,0.07091172214182344,0.1952191235059761,2.545215364955273,0.04305092768089201,1.1472682724133485
813,"frozenset([1, 2, 6])","frozenset([11, 5])",0.07525325615050651,0.3589001447178003,0.07091172214182344,0.9423076923076922,2.625542803970223,0.04390331761892095,11.112397491558104
814,"frozenset([1, 11, 5])","frozenset([2, 6])",0.3589001447178003,0.07525325615050651,0.07091172214182344,0.1975806451612903,2.625542803970223,0.04390331761892095,1.1524482033903234
815,"frozenset([1, 11, 6])","frozenset([2, 5])",0.07670043415340087,0.4341534008683068,0.07091172214182344,0.9245283018867924,2.129496855345912,0.03761196780604882,7.497467438494926
816,"frozenset([1, 5, 6])","frozenset([2, 11])",0.07091172214182344,0.3921852387843705,0.07091172214182344,1.0,2.5498154981549814,0.04310119146102148,inf
817,"frozenset([2, 11, 5])","frozenset([1, 6])",0.3545586107091172,0.07670043415340087,0.07091172214182344,0.19999999999999998,2.6075471698113204,0.0437169227676075,1.1541244573082488
818,"frozenset([2, 11, 6])","frozenset([1, 5])",0.07525325615050651,0.3704775687409551,0.07091172214182344,0.9423076923076922,2.5434945913461537,0.04303207876334346,10.91172214182342
819,"frozenset([2, 5, 6])","frozenset([1, 11])",0.07091172214182344,0.40520984081041966,0.07091172214182344,1.0,2.467857142857143,0.04217759450114245,inf
820,"frozenset([11, 5, 6])","frozenset([1, 2])",0.07091172214182344,0.402315484804631,0.07091172214182344,1.0,2.485611510791367,0.042382838270004455,inf
821,"frozenset([1, 2])","frozenset([11, 5, 6])",0.402315484804631,0.07091172214182344,0.07091172214182344,0.17625899280575538,2.485611510791367,0.042382838270004455,1.1278888263955158
822,"frozenset([1, 11])","frozenset([2, 5, 6])",0.40520984081041966,0.07091172214182344,0.07091172214182344,0.175,2.467857142857143,0.04217759450114245,1.1261676095250626
823,"frozenset([1, 5])","frozenset([2, 11, 6])",0.3704775687409551,0.07525325615050651,0.07091172214182344,0.19140625,2.5434945913461537,0.04303207876334346,1.1436481469829485
824,"frozenset([1, 6])","frozenset([2, 11, 5])",0.07670043415340087,0.3545586107091172,0.07091172214182344,0.9245283018867924,2.6075471698113204,0.0437169227676075,8.552098408104186
825,"frozenset([2, 11])","frozenset([1, 5, 6])",0.3921852387843705,0.07091172214182344,0.07091172214182344,0.18081180811808115,2.5498154981549814,0.04310119146102148,1.1341573121602067
826,"frozenset([2, 5])","frozenset([1, 11, 6])",0.4341534008683068,0.07670043415340087,0.07091172214182344,0.16333333333333333,2.129496855345912,0.03761196780604882,1.1035452978246205
