antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset(['azuredeploy.parameters.json']),"frozenset(['metadata.json', 'azuredeploy.json', 'README.md'])",0.987161198,0.984308131,0.984308131,0.997109827,1.01300578,0.012637337,5.429386591
frozenset(['README.md']),"frozenset(['metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json'])",0.991440799,0.987161198,0.984308131,0.992805755,1.005717969,0.005596244,1.784593438
frozenset(['scripts']),frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'scripts'])",frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.parameters.json', 'scripts'])",frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['metadata.json', 'scripts'])",frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.parameters.json', 'scripts'])",frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
frozenset(['scripts']),"frozenset(['metadata.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'scripts'])",frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['azuredeploy.json', 'README.md', 'scripts'])",frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.parameters.json', 'README.md', 'scripts'])",frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'scripts'])","frozenset(['azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['azuredeploy.parameters.json', 'scripts'])","frozenset(['azuredeploy.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['README.md', 'scripts'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'scripts'])",frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['metadata.json', 'README.md', 'scripts'])",frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.parameters.json', 'README.md', 'scripts'])",frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
"frozenset(['metadata.json', 'scripts'])","frozenset(['azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['azuredeploy.parameters.json', 'scripts'])","frozenset(['metadata.json', 'README.md'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['README.md', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
frozenset(['scripts']),frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['metadata.json', 'azuredeploy.json', 'scripts'])",frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['metadata.json', 'README.md', 'scripts'])",frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'README.md', 'scripts'])",frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
"frozenset(['metadata.json', 'scripts'])","frozenset(['azuredeploy.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['azuredeploy.json', 'scripts'])","frozenset(['metadata.json', 'README.md'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['README.md', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['metadata.json', 'azuredeploy.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['metadata.json', 'scripts'])",frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['README.md', 'scripts'])",frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
frozenset(['scripts']),"frozenset(['metadata.json', 'README.md'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['metadata.json', 'azuredeploy.json', 'scripts'])",frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'scripts'])",frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'scripts'])",frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
"frozenset(['metadata.json', 'scripts'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.parameters.json', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json', 'scripts'])",frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['metadata.json', 'azuredeploy.json', 'README.md', 'scripts'])",frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'README.md', 'scripts'])",frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'README.md', 'scripts'])",frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
"frozenset(['metadata.json', 'azuredeploy.json', 'scripts'])","frozenset(['azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'scripts'])","frozenset(['azuredeploy.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['metadata.json', 'README.md', 'scripts'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'scripts'])","frozenset(['metadata.json', 'README.md'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'README.md', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.parameters.json', 'README.md', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['metadata.json', 'scripts'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['azuredeploy.json', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['azuredeploy.parameters.json', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['README.md', 'scripts'])","frozenset(['metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
frozenset(['scripts']),frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
"frozenset(['metadata.json', 'scripts'])",frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'scripts'])",frozenset(['metadata.json']),0.169757489,0.990014265,0.169757489,1,1.010086455,0.001695153,inf
frozenset(['scripts']),"frozenset(['metadata.json', 'azuredeploy.json'])",0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
"frozenset(['azuredeploy.json', 'scripts'])",frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['README.md', 'scripts'])",frozenset(['azuredeploy.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['azuredeploy.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
"frozenset(['azuredeploy.parameters.json', 'scripts'])",frozenset(['README.md']),0.169757489,0.991440799,0.169757489,1,1.008633094,0.001452988,inf
"frozenset(['README.md', 'scripts'])",frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['scripts']),"frozenset(['azuredeploy.parameters.json', 'README.md'])",0.169757489,0.984308131,0.169757489,1,1.015942029,0.002663812,inf
frozenset(['scripts']),frozenset(['azuredeploy.parameters.json']),0.169757489,0.987161198,0.169757489,1,1.01300578,0.002179483,inf
frozenset(['images']),frozenset(['README.md']),0.108416548,0.991440799,0.108416548,1,1.008633094,0.000927959,inf
"frozenset(['images', 'metadata.json'])",frozenset(['azuredeploy.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json'])",frozenset(['metadata.json']),0.106990014,0.990014265,0.106990014,1,1.010086455,0.001068374,inf
"frozenset(['images', 'metadata.json', 'azuredeploy.parameters.json'])",frozenset(['README.md']),0.106990014,0.991440799,0.106990014,1,1.008633094,0.000915749,inf
"frozenset(['images', 'metadata.json', 'README.md'])",frozenset(['azuredeploy.parameters.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.parameters.json', 'README.md'])",frozenset(['metadata.json']),0.106990014,0.990014265,0.106990014,1,1.010086455,0.001068374,inf
"frozenset(['images', 'metadata.json'])","frozenset(['azuredeploy.parameters.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
"frozenset(['images', 'azuredeploy.parameters.json'])","frozenset(['metadata.json', 'README.md'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
frozenset(['images']),"frozenset(['metadata.json', 'azuredeploy.parameters.json', 'README.md'])",0.108416548,0.984308131,0.106990014,0.986842105,1.002574371,0.000274725,1.192582026
"frozenset(['images', 'metadata.json', 'azuredeploy.json'])",frozenset(['azuredeploy.parameters.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'metadata.json', 'azuredeploy.parameters.json'])",frozenset(['azuredeploy.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json', 'azuredeploy.parameters.json'])",frozenset(['metadata.json']),0.106990014,0.990014265,0.106990014,1,1.010086455,0.001068374,inf
"frozenset(['images', 'metadata.json'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json'])","frozenset(['metadata.json', 'azuredeploy.parameters.json'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.parameters.json'])","frozenset(['metadata.json', 'azuredeploy.json'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'metadata.json'])",frozenset(['README.md']),0.106990014,0.991440799,0.106990014,1,1.008633094,0.000915749,inf
"frozenset(['images', 'azuredeploy.json', 'azuredeploy.parameters.json'])",frozenset(['README.md']),0.106990014,0.991440799,0.106990014,1,1.008633094,0.000915749,inf
"frozenset(['images', 'azuredeploy.json', 'README.md'])",frozenset(['azuredeploy.parameters.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.parameters.json', 'README.md'])",frozenset(['azuredeploy.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json'])","frozenset(['azuredeploy.parameters.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
"frozenset(['images', 'azuredeploy.parameters.json'])","frozenset(['azuredeploy.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
frozenset(['images']),"frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",0.108416548,0.984308131,0.106990014,0.986842105,1.002574371,0.000274725,1.192582026
"frozenset(['images', 'azuredeploy.json'])",frozenset(['azuredeploy.parameters.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.parameters.json'])",frozenset(['azuredeploy.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json'])",frozenset(['README.md']),0.106990014,0.991440799,0.106990014,1,1.008633094,0.000915749,inf
frozenset(['images']),"frozenset(['azuredeploy.json', 'README.md'])",0.108416548,0.984308131,0.106990014,0.986842105,1.002574371,0.000274725,1.192582026
"frozenset(['images', 'metadata.json', 'azuredeploy.json'])",frozenset(['README.md']),0.106990014,0.991440799,0.106990014,1,1.008633094,0.000915749,inf
"frozenset(['images', 'metadata.json', 'README.md'])",frozenset(['azuredeploy.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json', 'README.md'])",frozenset(['metadata.json']),0.106990014,0.990014265,0.106990014,1,1.010086455,0.001068374,inf
"frozenset(['images', 'metadata.json'])","frozenset(['azuredeploy.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
"frozenset(['images', 'azuredeploy.json'])","frozenset(['metadata.json', 'README.md'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
frozenset(['images']),"frozenset(['metadata.json', 'azuredeploy.json', 'README.md'])",0.108416548,0.984308131,0.106990014,0.986842105,1.002574371,0.000274725,1.192582026
"frozenset(['images', 'metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json'])",frozenset(['README.md']),0.106990014,0.991440799,0.106990014,1,1.008633094,0.000915749,inf
"frozenset(['images', 'metadata.json', 'azuredeploy.json', 'README.md'])",frozenset(['azuredeploy.parameters.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'metadata.json', 'azuredeploy.parameters.json', 'README.md'])",frozenset(['azuredeploy.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",frozenset(['metadata.json']),0.106990014,0.990014265,0.106990014,1,1.010086455,0.001068374,inf
"frozenset(['images', 'metadata.json', 'azuredeploy.json'])","frozenset(['azuredeploy.parameters.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
"frozenset(['images', 'metadata.json', 'azuredeploy.parameters.json'])","frozenset(['azuredeploy.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
"frozenset(['images', 'metadata.json', 'README.md'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json', 'azuredeploy.parameters.json'])","frozenset(['metadata.json', 'README.md'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.json', 'README.md'])","frozenset(['metadata.json', 'azuredeploy.parameters.json'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.parameters.json', 'README.md'])","frozenset(['metadata.json', 'azuredeploy.json'])",0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'metadata.json'])","frozenset(['azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
"frozenset(['images', 'azuredeploy.json'])","frozenset(['metadata.json', 'azuredeploy.parameters.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
"frozenset(['images', 'azuredeploy.parameters.json'])","frozenset(['metadata.json', 'azuredeploy.json', 'README.md'])",0.106990014,0.984308131,0.106990014,1,1.015942029,0.001678873,inf
frozenset(['images']),"frozenset(['metadata.json', 'azuredeploy.json', 'azuredeploy.parameters.json', 'README.md'])",0.108416548,0.984308131,0.106990014,0.986842105,1.002574371,0.000274725,1.192582026
"frozenset(['images', 'metadata.json'])",frozenset(['azuredeploy.parameters.json']),0.106990014,0.987161198,0.106990014,1,1.01300578,0.001373624,inf
"frozenset(['images', 'azuredeploy.parameters.json'])",frozenset(['metadata.json']),0.106990014,0.990014265,0.106990014,1,1.010086455,0.001068374,inf
"frozenset(['images', 'azuredeploy.parameters.json'])",frozenset(['README.md']),0.106990014,0.991440799,0.106990014,1,1.008633094,0.000915749,inf
frozenset(['images']),"frozenset(['azuredeploy.parameters.json', 'README.md'])",0.108416548,0.984308131,0.106990014,0.986842105,1.002574371,0.000274725,1.192582026
frozenset(['prereqs']),frozenset(['metadata.json']),0.07703281,0.990014265,0.07703281,1,1.010086455,0.000769229,inf
"frozenset(['metadata.json', 'prereqs'])",frozenset(['azuredeploy.json']),0.07703281,0.987161198,0.07703281,1,1.01300578,0.000989009,inf
"frozenset(['azuredeploy.json', 'prereqs'])",frozenset(['metadata.json']),0.07703281,0.990014265,0.07703281,1,1.010086455,0.000769229,inf
frozenset(['prereqs']),"frozenset(['metadata.json', 'azuredeploy.json'])",0.07703281,0.987161198,0.07703281,1,1.01300578,0.000989009,inf
"frozenset(['azuredeploy.json', 'prereqs'])",frozenset(['azuredeploy.parameters.json']),0.07703281,0.987161198,0.07703281,1,1.01300578,0.000989009,inf
